,PROJECT.NAME,AGENCY.x,project.ZIP.x,project.CD.x,STATUS.x,artist.ZIP.x,project.START.date.x,FULL.1..amount.x,ART.contract...x,art.contract.START.x,COMMUNITY.MEETING.date.s..x,END.DATE.x,Hispanic..by.zip.code..2010,White..by.zip.code..2010,Black..by.zip.code..2010,Asian..by.zip.code..2010,Two.ore.more.races..by.zip.code..2010,American.Indian..by.zip.code..2010,Native.Hawaiin.or.Pacific.Islander...by.zip.code..2010,Age..25..by.zip.code..2010,Age.25.44..by.zip.code..2010,Age.45.64..by.zip.code..2010,Age..64..by.zip.code..2010,Median.Household.Income.1990.by.CD,Median.Household.Income.2000.by.CD,Median.Household.Income.2013.by.CD,X.x,X.1,X.y,project.ZIP.y,AGENCY.y,project.CD.y,STATUS.y,artist.ZIP.y,project.START.date.y,FULL.1..amount.y,ART.contract...y,art.contract.START.y,COMMUNITY.MEETING.date.s..y,END.DATE.y,Single.Family.Residences...City.Community,X2011,X2012,X2013,X2014,X2015,AGENCY,project.ZIP,project.CD,STATUS,artist.ZIP,project.START.date,FULL.1..amount,ART.contract..,art.contract.START,COMMUNITY.MEETING.date.s.,END.DATE,Year,Project.Neighborhood,Project.Area,Project.County,Artist.Neighborhood,Artist.Area,Artist.County,Local.Artist,Local.Artist2,Location.Type
130,Oakwood Recreation Center,Rec+Parks,90291,11,completed,90034,7/1/1999,"$9,100 ","$7,600 ",1/1/2000,11/18/99; 12/21/99,5/14/2003,"5,668","21,817","1,491","1,251","1,293",197,50,"5,647","14,087","7,093","2,501",NA,NA,"82,595.81",NA,,162,90291,Rec+Parks,11,completed,90034,7/1/1999,"$9,100 ","$7,600 ",1/1/2000,11/18/99; 12/21/99,5/14/2003,Los Angeles (Venice),"844,250","936,800","1,163,000","1,379,650","1,501,000",Rec+Parks,90291,11,completed,90034,7/1/1999,"$9,100 ","$7,600 ",1/1/2000,11/18/99; 12/21/99,5/14/2003,2003,Venice,West Side,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Recreation
131,Olympic Police Station | Site-Specific Artwork,Police,90006,1,completed,2476,10/15/2003,"$283,803 ","$205,800 ",10/15/2003,1/26/2004,10/17/2008,"44,074","18,869","2,179","10,934","2,774",626,46,"21,547","21,688","13,146","4,724",NA,NA,"38,673.58",NA,https://controllerdata.lacity.org/dataset/Median-Household-Income-by-Council-Districts/khbi-qsyb,12,90006,Police,1,completed,2476,10/15/2003,"$283,803 ","$205,800 ",10/15/2003,1/26/2004,10/17/2008,Los Angeles (Pico Heights),"352,800","363,700","444,650","554,700","635,650",Police,90006,1,completed,2476,10/15/2003,"$283,803 ","$205,800 ",10/15/2003,1/26/2004,10/17/2008,2008,Los Angeles,Los Angeles,Los Angeles,Massachusetts,Massachusetts,Massachusetts,Not Local,Out of State,Fire/Police Station
132,Olympic Police Station | Youth Apprenticeship in Public Art [YAPA],Police,90006,1,in development,tbd,tbd,"$89,948 ","$73,758 ",,,,"44,074","18,869","2,179","10,934","2,774",626,47,"21,547","21,688","13,146","4,724",NA,NA,"38,673.58",NA,,13,90006,Police,1,in development,tbd,tbd,"$89,948 ","$73,758 ",,,,Los Angeles (Pico Heights),"352,800","363,700","444,650","554,700","635,650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,Pacific Palisades Recreation Center,Rec+Parks,90272,11,completed,90291,11/1/1997,"$15,000 ","$15,000 ",11/1/1997,7/1/1998,9/25/2000,"1,039","20,682",173,"1,228",691,31,9,"6,580","5,081","7,763","4,643",NA,NA,"82,595.81",NA,,161,90272,Rec+Parks,11,completed,90291,11/1/1997,"$15,000 ","$15,000 ",11/1/1997,7/1/1998,9/25/2000,Los Angeles (Castellemare/Pacific Palisades),"1,950,350","2,004,400","2,273,350","2,526,550","2,747,050",Rec+Parks,90272,11,completed,90291,11/1/1997,"$15,000 ","$15,000 ",11/1/1997,7/1/1998,9/25/2000,2000,Pacific Palisades,West Side,Los Angeles,Venice,West Side,Los Angeles,Area Local,Local,Recreation
134,Pacoima Branch Library,Library,91331,7,completed,90004,11/1/1998,"$20,000 ","$20,000 ",11/1/1998,6/1/1999,2/28/2002,"7,934","24,118","1,540","6,036","1,705",208,58,"10,222","10,812","11,510","5,634",NA,NA,"53,662.43",NA,,197,91331,Library,7,completed,90004,11/1/1998,"$20,000 ","$20,000 ",11/1/1998,6/1/1999,2/28/2002,Los Angeles (Pacoima),"254,400","266,000","305,600","353,400","380,350",Library,91331,7,completed,90004,11/1/1998,"$20,000 ","$20,000 ",11/1/1998,6/1/1999,2/28/2002,2002,Pacoima,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Library
135,Pacoima Neighborhood City Hall,BOE,91331,7,completed,91202,8/25/2006,"$104,940 ","$70,500 ",8/28/2006,9/18/2008,5/20/2011,"7,934","24,118","1,540","6,036","1,705",208,58,"10,222","10,812","11,510","5,634",NA,NA,"53,662.43",NA,,199,91331,BOE,7,completed,91202,8/25/2006,"$104,940 ","$70,500 ",8/28/2006,9/18/2008,5/20/2011,Los Angeles (Pacoima),"254,400","266,000","305,600","353,400","380,350",BOE,91331,7,completed,91202,8/25/2006,"$104,940 ","$70,500 ",8/28/2006,9/18/2008,5/20/2011,2011,Pacoima,San Fernando Valley,Los Angeles,Glendale,Glendale,Los Angeles,City Artist,Local,Municipal Building
136,Palisades Branch Library,Library,90065,11,completed,92870,9/1/2004,"$20,000 ","$20,000 ",9/1/2004,n/a,5/18/2006,"29,101","22,180",917,"7,021","2,320",370,36,"15,134","15,698","11,218","5,041",NA,NA,"82,595.81",NA,,151,90065,Library,11,completed,92870,9/1/2004,"$20,000 ","$20,000 ",9/1/2004,n/a,5/18/2006,Los Angeles (Cypress Park/Glassell Park),"433,150","439,150","535,600","590,800","640,750",Library,90065,11,completed,92870,9/1/2004,"$20,000 ","$20,000 ",9/1/2004,n/a,5/18/2006,2006,Los Angeles,Los Angeles,Los Angeles,Placentia,Orange,Orange,Not Local,From California,Library
137,Palms-Rancho Park Branch Library,Library,90064,5,completed,90066,4/27/2000,"$20,000 ","$20,000 ",4/7/2000,8/8/2000,2/24/2003,"3,826","17,703",670,"4,265","1,297",68,26,"6,744","8,921","6,748","3,947",NA,NA,"64,545.08",NA,,149,90064,Library,5,completed,90066,4/27/2000,"$20,000 ","$20,000 ",4/7/2000,8/8/2000,2/24/2003,Los Angeles (Cheviot Hills/Rancho Park),"884,300","929,950","1,114,500","1,189,750","1,304,900",Library,90064,5,completed,90066,4/27/2000,"$20,000 ","$20,000 ",4/7/2000,8/8/2000,2/24/2003,2003,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
138,Palms Area Child Care Center,Rec+Parks,90064,5,completed,90023,2/20/2001,"$9,100 ","$7,600 ",2/22/2001,5/29/2001,2/5/2003,"3,827","17,703",670,"4,265","1,297",68,26,"6,744","8,921","6,748","3,947",NA,NA,"64,545.08",NA,,150,90064,Rec+Parks,5,completed,90023,2/20/2001,"$9,100 ","$7,600 ",2/22/2001,5/29/2001,2/5/2003,Los Angeles (Cheviot Hills/Rancho Park),"884,300","929,950","1,114,500","1,189,750","1,304,900",Rec+Parks,90064,5,completed,90023,2/20/2001,"$9,100 ","$7,600 ",2/22/2001,5/29/2001,2/5/2003,2003,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Adult/Childcare and Development
139,Palms Fire Station No. 43,Fire,90232,5,completed,90302,10/1/2003,"$59,198 ","$50,000 ",10/1/2003,12/16/2003,9/24/2007,"3,932","9,201",981,"2,294",964,71,40,"3,982","5,815","4,093","1,907",NA,NA,"64,545.08",NA,,160,90232,Fire,5,completed,90302,10/1/2003,"$59,198 ","$50,000 ",10/1/2003,12/16/2003,9/24/2007,Culver City,"704,450","696,700","840,500","925,600","974,350",Fire,90232,5,completed,90302,10/1/2003,"$59,198 ","$50,000 ",10/1/2003,12/16/2003,9/24/2007,2007,Culver City,West Side,Los Angeles,Inglewood,South Bay,Los Angeles,City Artist,Local,Fire/Police Station
140,Pan Pacific Park Recreation Center,Rec+Parks,90036,4,completed,90504,12/8/1998,"$39,000 ","$34,000 ",12/8/1998,5/20/1999,1/15/2002,"2,992","24,801","2,148","7,519","1,384",74,38,"9,483","17,830","7,232","3,377",NA,NA,"58,888.16",NA,,92,90036,Rec+Parks,4,completed,90504,12/8/1998,"$39,000 ","$34,000 ",12/8/1998,5/20/1999,1/15/2002,Los Angeles (Park La Brea),"1,035,950","1,011,400","1,224,400","1,346,350","1,469,850",Rec+Parks,90036,4,completed,90504,12/8/1998,"$39,000 ","$34,000 ",12/8/1998,5/20/1999,1/15/2002,2002,Los Angeles,Los Angeles,Los Angeles,Torrance,0,Los Angeles,City Artist,Local,Recreation
141,Panorama Branch Library,Library,91402,6,completed,90012,11/1/1995,"$26,400 ","$26,400 ",11/1/1995,02/23/93; 04/26/93,10/31/1999,"50,328","28,209","2,166","9,877","3,037",491,78,"28,819","24,018","14,224","5,073",NA,NA,"47,493.67",NA,,233,91402,Library,6,completed,90012,11/1/1995,"$26,400 ","$26,400 ",11/1/1995,02/23/93; 04/26/93,10/31/1999,Los Angeles (Panorama City),"276,250","274,500","337,950","367,650","388,600",Library,91402,6,completed,90012,11/1/1995,"$26,400 ","$26,400 ",11/1/1995,02/23/93; 04/26/93,10/31/1999,1999,Panorama City,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Library
142,Pecan Park Gymnasium,Rec+Parks,90033,14,completed,90065-2152,11/6/2002,"$19,400 ","$15,908 ",11/6/2002,8/5/2003,11/5/2005,"44,703","22,458",926,"2,124","1,938",538,23,"21,307","15,470","9,045","4,423",NA,NA,"38,032.33",NA,,86,90033,Rec+Parks,14,completed,90065-2152,11/6/2002,"$19,400 ","$15,908 ",11/6/2002,8/5/2003,11/5/2005,Los Angeles (Boyle Heights),"205,350","210,500","249,200","319,500","364,500",Rec+Parks,90033,14,completed,90065,11/6/2002,"$19,400 ","$15,908 ",11/6/2002,8/5/2003,11/5/2005,2005,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Recreation
143,Pedlow Skate Park,Rec+Parks,91406,6,completed,90291,6/10/2003,"$10,000 ","$8,200 ",6/10/2003,8/13/2003,5/25/2006,"28,646","28,887","2,774","4,035","2,854",415,75,"18,452","18,684","12,020","4,284",NA,NA,"47,493.67",NA,,240,91406,Rec+Parks,6,completed,90291,6/10/2003,"$10,000 ","$8,200 ",6/10/2003,8/13/2003,5/25/2006,Los Angeles (Van Nuys),"326,000","333,700","412,350","457,850","475,100",Rec+Parks,91406,6,completed,90291,6/10/2003,"$10,000 ","$8,200 ",6/10/2003,8/13/2003,5/25/2006,2006,Van Nuys,San Fernando Valley,Los Angeles,Venice,West Side,Los Angeles,City Artist,Local,Recreation
144,Pico Union Branch Library,Library,90006,1,completed,91941,12/18/2001,"$20,000 ","$20,000 ",12/18/2001,4/9/2002,6/17/2004,"44,074","18,869","2,179","10,934","2,774",626,46,"21,547","21,688","13,146","4,724",NA,NA,"38,673.58",NA,,10,90006,Library,1,completed,91941,12/18/2001,"$20,000 ","$20,000 ",12/18/2001,4/9/2002,6/17/2004,Los Angeles (Pico Heights),"352,800","363,700","444,650","554,700","635,650",Library,90006,1,completed,91941,12/18/2001,"$20,000 ","$20,000 ",12/18/2001,4/9/2002,6/17/2004,2004,Los Angeles,Los Angeles,Los Angeles,La Mesa,San Diego,San Diego,Not Local,From California,Library
145,Pico Union Fire Station No. 13,Fire,90006,1,completed,92371,5/18/2004,"$58,434 ","$50,000 ",5/18/2004,9/7/2004,,"44,074","18,869","2,179","10,934","2,774",626,46,"21,547","21,688","13,146","4,724",NA,NA,"38,673.58",NA,http://www.usacityfacts.com/,11,90006,Fire,1,completed,92371,5/18/2004,"$58,434 ","$50,000 ",5/18/2004,9/7/2004,,Los Angeles (Pico Heights),"352,800","363,700","444,650","554,700","635,650",Fire,90006,1,completed,92371,5/18/2004,"$58,434 ","$50,000 ",5/18/2004,9/7/2004,,,Los Angeles,Los Angeles,Los Angeles,Phelan,San Bernardino,San Bernardino,Not Local,From California,Fire/Police Station
146,Pio Pico Koreatown Branch Library,Library,90005,10,completed,90013,1/10/2001,"$20,000 ","$20,000 ",1/10/2001,5/20/01;10/22/01,,"19,578","10,953","2,007","12,740","1,684",317,40,"11,900","15,075","8,334","3,657",NA,NA,"38,673.58",NA,,8,90005,Library,10,completed,90013,1/10/2001,"$20,000 ","$20,000 ",1/10/2001,5/20/01;10/22/01,,Los Angeles (Koreatown),"904,650","967,900","1,151,100","1,404,050","1,430,050",Library,90005,10,completed,90013,1/10/2001,"$20,000 ","$20,000 ",1/10/2001,5/20/01;10/22/01,,,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
147,Platt Branch Library,Library,91307,3,completed,90302,10/1/1994,"$27,500 ","$27,500 ",10/1/1994,n/a,6/1/1995,"3,323","18,338",712,"3,168","1,129",66,15,"7,472","6,521","7,633","4,000",NA,NA,"65,860.47",NA,,187,91307,Library,3,completed,90302,10/1/1994,"$27,500 ","$27,500 ",10/1/1994,n/a,6/1/1995,Los Angeles (West Hills),"438,500","437,150","531,900","573,050","585,900",Library,91307,3,completed,90302,10/1/1994,"$27,500 ","$27,500 ",10/1/1994,n/a,6/1/1995,1995,West Hills,San Fernando Valley,Los Angeles,Inglewood,South Bay,Los Angeles,City Artist,Local,Library
148,Playa Vista Branch Library [#2],Library,90094,11,completed,90045,12/5/2008,"$35,000 ","$35,000 ",12/5/2008,4/18/2009,12/4/2009,549,"3,124",621,"1,207",350,14,13,"1,272","3,032",931,373,NA,NA,"82,595.81",NA,,158,90094,Library,11,completed,90045,12/5/2008,"$35,000 ","$35,000 ",12/5/2008,4/18/2009,12/4/2009,Los Angeles (Playa Vista),N/A,N/A,N/A,N/A,N/A,Library,90094,11,completed,90045,12/5/2008,"$35,000 ","$35,000 ",12/5/2008,4/18/2009,12/4/2009,2009,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
149,Police Academy | New Training Facility,Police,90012,1,active,90042,5/15/2015,"$156,097 ","$120,000 ",5/5/2014,"11/12/15, 4/19/16",,"8,426","8,432","4,260","13,696",870,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,673.58",NA,,38,90012,Police,1,active,90042,5/15/2015,"$156,097 ","$120,000 ",5/5/2014,"11/12/15, 4/19/16",,Los Angeles (Civic Center/Chinatown),"294,300","304,100","364,800","421,700","470,700",Police,90012,1,active,90042,5/15/2015,"$156,097 ","$120,000 ",5/5/2014,"11/12/15, 4/19/16",,,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Fire/Police Station
150,Police Academy | Renovation,Police,90012,1,active,91106,5/15/2015,"$205,487 ","$120,000 ",5/5/2014,"11/12/15, 4/19/16",,"8,426","8,432","4,260","13,696",870,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,673.58",NA,,31,90012,Police,1,active,91106,5/15/2015,"$205,487 ","$120,000 ",5/5/2014,"11/12/15, 4/19/16",,Los Angeles (Civic Center/Chinatown),"294,300","304,100","364,800","421,700","470,700",Police,90012,1,active,91106,5/15/2015,"$205,487 ","$120,000 ",5/5/2014,"11/12/15, 4/19/16",,,Los Angeles,Los Angeles,Los Angeles,Pasadena,Pasadena,Los Angeles,City Artist,Local,Fire/Police Station
151,Police Administration Building | Auditorium Fa??ade Treatment,Police,90012,14,completed,94110,6/18/2007,"$609,756 ","$500,000 ",6/18/2007,,,"8,426","8,432","4,260","13,696",870,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,032.33",NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,Police Administration Building | Spring Street Sculptures,Police,90012,14,completed,90291,6/18/2007,"$609,756 ","$500,000 ",6/18/2007,"11/19/2007, 12/05/2007, 12/12/2007",11/2/2009,"8,426","8,432","4,260","13,696",870,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,032.33",NA,,25,90012,Police,14,completed,90291,6/18/2007,"$609,756 ","$500,000 ",6/18/2007,"11/19/2007, 12/05/2007, 12/12/2007",11/2/2009,Los Angeles (Civic Center/Chinatown),"294,300","304,100","364,800","421,700","470,700",Police,90012,14,completed,90291,6/18/2007,"$609,756 ","$500,000 ",6/18/2007,"11/19/2007, 12/05/2007, 12/12/2007",11/2/2009,2009,Los Angeles,Los Angeles,Los Angeles,Venice,West Side,Los Angeles,City Artist,Local,Fire/Police Station
153,Porter Branch Library,Library,91326,12,completed,90025,6/1/1996,"$27,500 ","$18,000 ",6/1/1996,5/8/1996,7/6/1999,"4,504","19,782","1,172","9,994","1,365",66,30,"10,079","9,188","10,569","5,221",NA,NA,"66,792.32",NA,,195,91326,Library,12,completed,90025,6/1/1996,"$27,500 ","$18,000 ",6/1/1996,5/8/1996,7/6/1999,Los Angeles (Porter Ranch),"549,250","538,000","620,550","675,050","704,950",Library,91326,12,completed,90025,6/1/1996,"$27,500 ","$18,000 ",6/1/1996,5/8/1996,7/6/1999,1999,Porter Ranch,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Library
154,Rampart Police Station | Curated Exhibition,Police,90017,10,in development,tbd,tbd,"$195,121 ","$160,000 ",,,,"16,526","8,266","1,430","3,225","1,291",481,24,"9,377","9,297","3,916","1,743",NA,NA,"38,673.58",NA,,48,90017,Police,10,in development,tbd,tbd,"$195,121 ","$160,000 ",,,,Los Angeles (Downtown L.A./Westlake),N/A,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,Rampart Police Station | Mural,Police,90017,10,in development,tbd,tbd,"$91,708 ","$75,200 ",,,,"16,526","8,266","1,430","3,225","1,291",481,24,"9,377","9,297","3,916","1,743",NA,NA,"38,673.58",NA,,49,90017,Police,10,in development,tbd,tbd,"$91,708 ","$75,200 ",,,,Los Angeles (Downtown L.A./Westlake),N/A,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,Reseda Pool,Rec+Parks,91335,3,completed,90042,12/14/2010,"$22,040 ","$18,140 ",2/15/2011,8/23/2011,5/30/2012,"37,606","39,990","3,029","9,201","3,895",494,90,"25,595","25,038","18,320","8,227",NA,NA,"65,860.47",NA,,201,91335,Rec+Parks,3,completed,90042,12/14/2010,"$22,040 ","$18,140 ",2/15/2011,8/23/2011,5/30/2012,Los Angeles (Reseda),"312,850","318,300","390,700","429,350","446,850",Rec+Parks,91335,3,completed,90042,12/14/2010,"$22,040 ","$18,140 ",2/15/2011,8/23/2011,5/30/2012,2012,Reseda,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Recreation
157,Riverside Dr. Bridge | Roundabout,BIP,90065,1,active,90065,3/9/2009,"$20,000 ","$20,000 ",N/A,"3/25/2010, 4/15/2010",,"29,101","22,180",917,"7,021","2,320",370,36,"15,134","15,698","11,218","5,041",NA,NA,"38,673.58",NA,,154,90065,BIP,1,active,90065,3/9/2009,"$20,000 ","$20,000 ",N/A,"3/25/2010, 4/15/2010",,Los Angeles (Cypress Park/Glassell Park),"433,150","439,150","535,600","590,800","640,750",BIP,90065,1,active,90065,3/9/2009,"$20,000 ","$20,000 ",N/A,"3/25/2010, 4/15/2010",,,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Bridge/Road Infrastructure
158,Robertson Boulevard Parking Structure,DOT,90048,5,completed,90065,2/1/1997,"$60,000 ","$60,000 ",2/1/1997,6/10/1997,11/30/1998,"1,579","17,978",652,"1,571",799,37,15,"3,489","10,028","4,927","3,586",NA,NA,"64,545.08",NA,,138,90048,DOT,5,completed,90065,2/1/1997,"$60,000 ","$60,000 ",2/1/1997,6/10/1997,11/30/1998,Los Angeles (West Beverly)/West Hollywood,"1,047,400","1,069,900","1,295,050","1,379,850","1,476,800",DOT,90048,5,completed,90065,2/1/1997,"$60,000 ","$60,000 ",2/1/1997,6/10/1997,11/30/1998,1998,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Public Parking
159,Robertson Branch Library,Library,90035,5,completed,90046,5/1/1992,"$25,000 ","$25,000 ",,2/18/93;11/22/93,3/17/1998,"2,428","21,614","2,568","1,786","1,368",82,17,"7,503","10,841","6,871","4,137",NA,NA,"64,545.08",NA,,89,90035,Library,5,completed,90046,5/1/1992,"$25,000 ","$25,000 ",,2/18/93;11/22/93,3/17/1998,Los Angeles (West Fairfax),"909,850","915,150","1,092,950","1,276,050","1,357,300",Library,90035,5,completed,90046,5/1/1992,"$25,000 ","$25,000 ",,2/18/93;11/22/93,3/17/1998,1998,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
160,Ross Snyder Community Center,Rec+Parks,90011,9,completed,90039,10/1/1999,"$20,000 ","$7,000 ",10/1/1999,5/15/2000,3/27/2003,"92,879","35,138","9,764",591,"4,384","1,219",37,"49,755","35,379","16,922","4,784",NA,NA,"28,883.41",NA,,18,90011,Rec+Parks,9,completed,90039,10/1/1999,"$20,000 ","$7,000 ",10/1/1999,5/15/2000,3/27/2003,Los Angeles (South L.A.),"178,800","194,250","243,050","287,950","328,000",Rec+Parks,90011,9,completed,90039,10/1/1999,"$20,000 ","$7,000 ",10/1/1999,5/15/2000,3/27/2003,2003,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Recreation
161,San Fernando Bike Path (Phase 3),BIP,91331,6,completed,90405,,"$15,760 ","$15,760 ",2/25/2009,10/11/2011,,"7,934","24,118","1,540","6,036","1,705",208,58,"10,222","10,812","11,510","5,634",NA,NA,"47,493.67",NA,,196,91331,BIP,6,completed,90405,,"$15,760 ","$15,760 ",2/25/2009,10/11/2011,,Los Angeles (Pacoima),"254,400","266,000","305,600","353,400","380,350",BIP,91331,6,completed,90405,,"$15,760 ","$15,760 ",2/25/2009,10/11/2011,,,Pacoima,San Fernando Valley,Los Angeles,Santa Monica,West Side,Los Angeles,City Artist,Local,Bridge/Road Infrastructure
162,San Fernando Bike Path | Phase 2,BIP,91340,7,completed,90046,7/25/2002,"$4,500 ","$4,500 ",N/A,N/A,,"31,452","16,998",669,387,"1,314",444,35,"14,146","11,302","7,009","2,766",NA,NA,"53,662.43",NA,,205,91340,BIP,7,completed,90046,7/25/2002,"$4,500 ","$4,500 ",N/A,N/A,,San Fernando,"250,200","256,950","312,500","346,400","354,950",BIP,91340,7,completed,90046,7/25/2002,"$4,500 ","$4,500 ",N/A,N/A,,,San Fernando,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Bridge/Road Infrastructure
163,San Pedro Fire Station No. 36,Fire,90731,15,completed,90731,11/18/2003,"$58,434 ","$53,903 ",11/18/2003,9/13/2004,,"34,816","31,732","4,369","2,721","3,952",721,352,"20,559","19,732","15,415","6,170",NA,NA,"44,302.32",NA,,168,90731,Fire,15,completed,90731,11/18/2003,"$58,434 ","$53,903 ",11/18/2003,9/13/2004,,Los Angeles (San Pedro/Terminal Island),"417,400","387,800","467,850","515,900","537,650",Fire,90731,15,completed,90731,11/18/2003,"$58,434 ","$53,903 ",11/18/2003,9/13/2004,,,San Pedro,LA Harbor Area,Los Angeles,San Pedro,LA Harbor Area,Los Angeles,Neighborhood Artist,Local,Fire/Police Station
164,Santa Monica Blvd. Transit Parkway,BOE,90025,5,completed,90291,8/7/2003,"$398,401 ","$382,000 ",8/7/2003,,,"6,355","27,257","1,186","8,382","2,285",210,50,"9,559","20,132","8,673","4,988",NA,NA,"64,545.08",NA,,62,90025,BOE,5,completed,90291,8/7/2003,"$398,401 ","$382,000 ",8/7/2003,,,Los Angeles (Sawtelle/West L.A.),"892,950","935,200","1,089,400","1,125,550","1,242,400",BOE,90025,5,completed,90291,8/7/2003,"$398,401 ","$382,000 ",8/7/2003,,,,Los Angeles,Los Angeles,Los Angeles,Venice,West Side,Los Angeles,City Artist,Local,Bridge/Road Infrastructure
165,Sepulveda Park West,Rec+Parks,91343,6,completed,90086,4/20/2001,"$15,000 ","$13,000 ",4/20/2001,6/28/2001,9/4/2002,"35,438","28,519","2,641","8,563","2,743",420,109,"23,383","20,156","13,385","5,463",NA,NA,"47,493.67",NA,,208,91343,Rec+Parks,6,completed,90086,4/20/2001,"$15,000 ","$13,000 ",4/20/2001,6/28/2001,9/4/2002,Los Angeles (North Hills),"357,650","356,700","420,400","466,250","489,650",Rec+Parks,91343,6,completed,90086,4/20/2001,"$15,000 ","$13,000 ",4/20/2001,6/28/2001,9/4/2002,2002,North Hills,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Recreation
166,Sherman Oaks Branch Library [#1],Library,91423,4,completed,90042,1/8/2001,"$20,000 ","$20,000 ",1/8/2001,6/13/2001,4/18/2003,"3,714","24,792","1,601","1,998","1,300",86,33,"7,243","12,666","8,408","3,959",NA,NA,"58,888.16",NA,,246,91423,Library,4,completed,90042,1/8/2001,"$20,000 ","$20,000 ",1/8/2001,6/13/2001,4/18/2003,Los Angeles (Sherman Oaks),"738,500","755,050","902,900","947,500","1,013,750",Library,91423,4,completed,90042,1/8/2001,"$20,000 ","$20,000 ",1/8/2001,6/13/2001,4/18/2003,2003,Sherman Oaks,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Library
167,Sherman Oaks/East Valley Adult Center,Rec+Parks,91403,4,completed,90039,8/9/2007,"$85,000 ","$80,290 ",8/9/2007,12/18/2008,8/8/2010,"2,537","18,645","1,191","1,741","1,025",39,22,"5,121","9,775","6,063","3,401",NA,NA,"58,888.16",NA,,236,91403,Rec+Parks,4,completed,90039,8/9/2007,"$85,000 ","$80,290 ",8/9/2007,12/18/2008,8/8/2010,Los Angeles (Sherman Oaks),"847,750","866,050","1,052,150","1,101,800","1,170,100",Rec+Parks,91403,4,completed,90039,8/9/2007,"$85,000 ","$80,290 ",8/9/2007,12/18/2008,8/8/2010,2010,Sherman Oaks,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Adult/Childcare and Development
168,Silver Lake Branch Library [#2],Library,90039,13,completed,90026,4/18/2008,"$41,300 ","$35,000 ",4/18/2008,11/19/2008,4/17/2011,"11,675","16,118",647,"5,239","1,472",185,41,"7,148","11,270","7,269","3,759",NA,NA,"39,267.94",NA,,98,90039,Library,13,completed,90026,4/18/2008,"$41,300 ","$35,000 ",4/18/2008,11/19/2008,4/17/2011,Los Angeles (Atwater Village),"559,000","573,450","670,950","714,750","775,050",Library,90039,13,completed,90026,4/18/2008,"$41,300 ","$35,000 ",4/18/2008,11/19/2008,4/17/2011,2011,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
